image_name,image_id,objectID,class_number,class_name,y_min,x_min,y_max,x_max,y_min_sqrt,x_min_sqrt,y_max_sqrt,x_max_sqrt,confidence,distance
1623700862.3820744.png,33,128,1,person,0,457,478,639,0,21.37755833,21.86321111,25.27844932,0.920056,60
1623700863.1417243.png,199,766,1,person,0,397,476,615,0,19.92485885,21.81742423,24.79919354,0.8923695,60
1623700863.891094.png,246,945,1,person,0,361,481,515,0,19,21.9317122,22.69361144,0.9133363,60
1623700864.641247.png,344,1301,1,person,0,296,475,509,0,17.20465053,21.79449472,22.56102835,0.93623084,60
1623700865.5594473.png,90,356,1,person,0,215,480,417,0,14.6628783,21.9089023,20.42057786,0.94718456,60
1623700866.3265975.png,236,910,1,person,0,129,476,269,0,11.35781669,21.81742423,16.40121947,0.8035345,60
1623700867.0833886.png,299,1137,1,person,0,110,482,251,0,10.48808848,21.9544984,15.84297952,0.88595396,60
1623700867.838116.png,100,393,1,person,0,53,477,251,0,7.280109889,21.84032967,15.84297952,0.8798574,60
1623700868.5947711.png,237,912,1,person,0,17,479,153,0,4.123105626,21.88606863,12.36931688,0.91001815,60
1623700863.1417243.png,199,765,1,person,113,0,431,138,10.63014581,0,20.76053949,11.74734012,0.9505106,120
1623700863.891094.png,246,944,1,person,118,84,419,207,10.86278049,9.16515139,20.46948949,14.38749457,0.9461644,120
1623700864.641247.png,344,1300,1,person,124,156,407,272,11.13552873,12.489996,20.174241,16.4924225,0.95439595,120
1623700866.3265975.png,236,908,1,person,118,250,401,343,10.86278049,15.8113883,20.02498439,18.52025918,0.86549187,120
1623700867.0833886.png,299,1136,1,person,112,303,402,430,10.58300524,17.40689519,20.04993766,20.73644135,0.93845874,120
1623700867.838116.png,100,392,1,person,110,310,401,428,10.48808848,17.60681686,20.02498439,20.68816087,0.9250691,120
1623700868.5947711.png,237,911,1,person,113,375,403,482,10.63014581,19.36491673,20.0748599,21.9544984,0.91275626,120
1623700869.3512306.png,134,519,1,person,117,418,403,504,10.81665383,20.4450483,20.0748599,22.44994432,0.86230034,120
1623700870.1006696.png,186,721,1,person,105,434,409,552,10.24695077,20.83266666,20.22374842,23.49468025,0.924578,120
1623700870.8557491.png,272,1041,1,person,93,481,406,637,9.643650761,21.9317122,20.14944168,25.23885893,0.94434375,120
1623700871.6039286.png,265,1017,1,person,89,535,414,638,9.433981132,23.13006701,20.34698995,25.25866188,0.87112606,120
1623700873.864212.png,340,1286,1,person,78,545,412,640,8.831760866,23.34523506,20.29778313,25.29822128,0.85254824,120
1623700874.615304.png,32,125,1,person,85,481,409,609,9.219544457,21.9317122,20.22374842,24.67792536,0.8816953,120
1623700875.363481.png,154,597,1,person,96,466,407,602,9.797958971,21.58703314,20.174241,24.53568829,0.9407953,120
1623700876.112244.png,74,291,1,person,101,412,402,523,10.04987562,20.29778313,20.04993766,22.86919325,0.9088967,120
1623700876.859088.png,139,538,1,person,99,401,404,494,9.949874371,20.02498439,20.09975124,22.22611077,0.78579473,120
1623700877.6112115.png,262,1006,1,person,102,345,405,467,10.09950494,18.57417562,20.1246118,21.61018278,0.9380839,120
1623700976.9668756.png,158,612,1,person,129,543,353,621,11.35781669,23.3023604,18.78829423,24.91987159,0.86896217,180
