image_name,image_id,objectID,class_number,class_name,y_min,x_min,y_max,x_max,accuracy
1622212165.8680692.jpg,0,0,1,person,62,330,359,450,0.7642081
1622212165.8680692.jpg,0,1,15,bench,216,176,410,584,0.65706736
1622212305.4986682.jpg,1,2,1,person,116,151,348,249,0.9337597
1622212305.4986682.jpg,1,3,1,person,96,270,340,346,0.90594906
1622212305.4986682.jpg,1,4,1,person,64,432,355,518,0.8826526
1622212305.4986682.jpg,1,5,1,person,91,5,351,90,0.8712038
1622212305.4986682.jpg,1,6,72,tv,0,0,23,86,0.45225313
1622212305.4986682.jpg,1,7,75,remote,141,438,176,451,0.36604023
1622212305.4986682.jpg,1,8,85,clock,127,597,149,616,0.35835668
1622212305.4986682.jpg,1,9,1,person,231,1,331,87,0.35007885
1622212293.9947753.jpg,2,10,1,person,130,296,298,357,0.92494845
1622212293.9947753.jpg,2,11,1,person,107,381,307,458,0.9164303
1622212293.9947753.jpg,2,12,1,person,47,0,370,198,0.8936925
1622212293.9947753.jpg,2,13,1,person,146,220,304,267,0.8923062
1622212293.9947753.jpg,2,14,1,person,195,121,244,156,0.7868792
1622212293.9947753.jpg,2,15,72,tv,1,54,59,143,0.55584514
1622212293.9947753.jpg,2,16,62,chair,264,0,475,199,0.5468653
1622212293.9947753.jpg,2,17,75,remote,158,394,183,408,0.42021206
1622212293.9947753.jpg,2,18,72,tv,93,0,133,39,0.31611472
1622212123.513371.jpg,3,19,1,person,164,145,360,289,0.90968597
1622212123.513371.jpg,3,20,1,person,85,428,333,508,0.9036486
1622212123.513371.jpg,3,21,1,person,90,509,442,639,0.87826324
1622212123.513371.jpg,3,22,1,person,135,381,297,442,0.80161357
1622212123.513371.jpg,3,23,62,chair,208,116,367,234,0.5711611
1622212123.513371.jpg,3,24,73,laptop,216,224,268,274,0.55377406
1622212123.513371.jpg,3,25,1,person,178,242,278,299,0.47996584
1622212123.513371.jpg,3,26,33,suitcase,215,373,309,418,0.3318837
1622212123.513371.jpg,3,27,62,chair,218,511,349,640,0.32040098
1622212170.9629111.jpg,4,28,15,bench,221,30,475,628,0.75286794
1622212170.9629111.jpg,4,29,1,person,74,382,369,522,0.69143164
1622212132.531273.jpg,5,30,1,person,91,139,471,448,0.9556081
1622212132.531273.jpg,5,31,1,person,156,267,251,342,0.7646635
1622212132.531273.jpg,5,32,62,chair,180,83,477,308,0.6528891
1622212132.531273.jpg,5,33,73,laptop,204,250,252,310,0.47223303
1622212132.531273.jpg,5,34,62,chair,219,526,294,569,0.33447066
1622212132.531273.jpg,5,35,33,suitcase,329,342,389,438,0.31622604
1622212332.5207064.jpg,6,36,1,person,7,126,428,318,0.930429
1622212332.5207064.jpg,6,37,1,person,171,593,218,626,0.61436063
1622212332.5207064.jpg,6,38,62,chair,226,96,474,249,0.47913444
1622212345.087596.jpg,8,39,1,person,129,372,223,429,0.78243905
1622212345.087596.jpg,8,40,15,bench,226,1,455,510,0.5322072
1622212204.3650627.jpg,9,41,1,person,30,478,395,581,0.8583839
1622212347.2128248.jpg,10,42,1,person,96,377,332,461,0.7076624
1622212347.2128248.jpg,10,43,15,bench,240,1,476,471,0.63221246
1622212120.45508.jpg,11,44,1,person,87,547,324,632,0.9292389
1622212120.45508.jpg,11,45,1,person,168,292,337,423,0.9206416
1622212120.45508.jpg,11,46,1,person,174,367,275,421,0.75170904
1622212120.45508.jpg,11,47,62,chair,208,269,344,365,0.6543202
1622212120.45508.jpg,11,48,72,tv,0,345,32,442,0.47989774
1622212120.45508.jpg,11,49,72,tv,67,422,164,468,0.37528023
1622212120.45508.jpg,11,50,31,handbag,170,611,196,632,0.31442463
1622212120.45508.jpg,11,51,62,chair,211,351,270,410,0.30047718
